date,bf_obs_gwei,total_gas_used_x,bf_median_gwei,tip_obs_gwei,total_gas_used_y,tx_count,tip_median_gwei,tip_mean_gwei,tip_p90_gwei,tip_max_gwei,tip_is_estimated,tf_obs_gwei,tip_pct_of_total
2023-11-19,20.342553053080525,107813142128.0,17.451442681,4.58241183026321,107813142128,7139,2.9032326805046393,4.664506348661496,8.218879169794436,743.3480705897042,False,24.924964883343733,18.38482762848519
2023-11-20,39.52640176703787,107964279468.0,32.611114832,4.9660436724222405,107964279468,7147,3.3881125351295363,5.044162354511728,9.670436072284533,272.3643807380947,False,44.492445439460106,11.161543546037333
2023-11-21,40.12805738762296,107865462611.0,35.135964276,5.1626623993170275,107865462611,7143,3.2964429843622263,5.386428263016075,10.220543173483913,805.0014185951792,False,45.29071978693999,11.398940938902303
2023-11-22,39.139038719465795,107838403023.0,32.608058451000005,6.0219537061450605,107838403023,7142,3.6500267020522372,5.823589832536431,10.417069147709668,269.4644297582986,False,45.16099242561086,13.334414021269389
2023-11-23,32.68626514897525,107864151826.0,31.42516198,5.079053603363857,107864151826,7145,3.498796959234143,5.344700585184602,9.898811025888548,176.86989527174006,False,37.76531875233911,13.448989102069394
2023-11-24,28.41000116601142,107750826814.0,29.163632887,4.804759340476838,107750826814,7134,3.3823626520650767,5.019222173272629,9.523281579700921,288.74459506746234,False,33.214760506488254,14.465735315292319
2023-11-25,22.2760603585199,107936575620.0,21.362607734,3.7693413231637742,107936575620,7145,2.636889660559112,4.033279708151866,7.453575223548583,587.2698521545362,False,26.045401681683675,14.472195012505985
2023-11-26,24.097848636335737,107778568328.0,23.06881202,4.244336979561528,107778568328,7135,2.987692686012297,4.433788030698141,8.202459474392702,259.8144662801127,False,28.342185615897264,14.975334072968808
2023-11-27,32.11298909498467,107702123594.0,31.400656216,5.7068210014328375,107702123594,7136,4.057544561485468,5.844071434820764,10.323643158054647,618.7129146923476,False,37.819810096417505,15.089502001421785
2023-11-28,39.42700221141667,107824735828.0,32.988454158,7.2714483545246384,107824735828,7145,4.360046971658514,7.214849862189875,12.503825834981033,1304.6200014508966,False,46.69845056594131,15.571069845790433
2023-11-29,37.53769830008519,107940875890.0,34.020451472000005,5.835847259419583,107940875890,7150,3.879189689051255,5.911715155148794,10.728650964530635,762.1306047728286,False,43.37354555950477,13.454854068624163
