date,bf_obs_gwei,total_gas_used,block_count,bf_median_gwei,bf_mean_gwei,bf_p90_gwei,bf_min_gwei,bf_max_gwei,weight_vs_median_pct
2023-11-26,24.097848636335737,107778568328.0,7135.0,23.06881202,24.26358105462845,31.7306761028,14.704095919,72.839701459,4.460726523080566
2023-11-27,32.11298909498467,107702123594.0,7136.0,31.400656216,32.30361307495768,45.831067596,16.411558771,92.892797999,2.268528638652155
2023-11-28,39.42700221141667,107824735828.0,7145.0,32.988454158,39.66483040816976,61.742271625600004,22.181862965,99.640188359,19.517580370934905
2023-11-29,37.53769830008519,107940875890.0,7150.0,34.020451472000005,37.77518987594825,50.702297492,25.784501006,114.823889483,10.33862478568222
2023-11-30,44.545688439665355,107888214993.0,7145.0,37.119186158,44.83865156816319,72.4418618814,20.282157918,184.984282935,20.00717971039024
2023-12-01,43.59818939835931,107863170034.0,7151.0,36.702634197,43.84998736416823,73.383104476,26.023561111,144.717277827,18.78763024023746
2023-12-02,33.758724080897785,108073234725.0,7157.0,32.089714674,33.98714531410605,43.46076574960001,22.440029176,73.830472312,5.201072754473771
2023-12-03,32.603718951992796,107731495784.0,7130.0,30.76696245,32.8407917273122,42.051877364700005,21.404403784,67.695437828,5.969898734650014
2023-12-04,46.736066326951985,107932894414.0,7150.0,45.5482715775,47.020311941055525,60.79730659930001,26.85600323,102.727263726,2.6077712903572174
2023-12-05,56.133104733287375,107825092919.0,7140.0,52.199185005000004,56.50475260062381,79.1023594869,33.959299177,111.693024623,7.53636235491139
2023-12-06,56.235368431249604,107655420086.0,7123.0,55.94415326,56.65929876457335,66.841333263,39.482795744,88.103184788,0.5205462131068173
2023-12-07,49.22061521814559,107619362929.0,7127.0,43.316536204,49.5553777351253,72.8964378438,27.287518638,144.218783164,13.630081099606445
2023-12-08,42.20713081334745,107734640482.0,7134.0,41.241100560999996,42.50300051762209,52.446461990799996,29.01306117,75.713422524,2.342396878857753
2023-12-09,33.942454745305405,107775026891.0,7135.0,32.142289273,34.1975661356492,44.154578082,22.354277493,60.143812511,5.600613749119504
2023-12-10,30.82702483548028,108026932108.0,7149.0,25.620805526,31.06137179134299,37.945346268,18.998427778,346.619135002,20.32027956418859
2023-12-11,36.474928148193584,108107606481.0,7146.0,36.644468586,36.76523962423635,47.627629704,16.887255347,191.844030873,-0.46266310946365063
