date,u_t,C_fee,base_fee_gwei,G_eff,gas_price_gwei,S_t,S_regime,l1_tx_count,l2_tx_total,A_t,arbitrum_tx_count,A_arbitrum,optimism_tx_count,A_optimism,base_tx_count,A_base,P_calldata_bytes,P_calldata_mb,eth_close_usd,eth_return_1d,eth_return_1d_log,eth_volatility_30d,eth_price_log,regime_pre_london,regime_post_london,regime_post_merge,regime_post_dencun,weekday,is_weekend,day_of_month,is_month_end,D_star_lite,D_star_lite_evr,D_eth_return,D_cex_volume,D_trends,realized_volatility,cex_volume_log,trends_ethereum,stablecoin_net_usd,D_star
2015-09-01,,,,24.760538151945525,56671549652.0,,,,,,,,,,,,,,,,,,,True,False,False,False,1,False,1,False,,,,,,,,,,
2015-09-02,,,,24.804924461870538,59243651401.0,,,,,,,,,,,,,,,,,,,True,False,False,False,2,False,2,False,,,,,,,,,,
2015-09-03,,,,24.731534647272458,55051483461.0,,,,,,,,,,,,,,,,,,,True,False,False,False,3,False,3,False,,,,,,,,,,
2015-09-04,,,,24.797050748290275,58779015464.0,,,,,,,,,,,,,,,,,,,True,False,False,False,4,False,4,False,,,,,,,,,,
2015-09-05,,,,24.726374554686068,54768144366.0,,,,,,,,,,,,,,,,,,,True,False,False,False,5,True,5,False,,,,,,,,,,
2015-09-06,,,,24.7322307547607,55089818552.0,,,,,,,,,,,,,,,,,,,True,False,False,False,6,True,6,False,,,,,,,,,,
2015-09-07,,,,24.704707821622033,53594260637.0,,,,,,,,,,,,,,,,,,,True,False,False,False,0,False,7,False,,,,,,,,,,
2015-09-08,,,,24.896616258900952,64932639811.0,,,,,,,,,,,,,,,,,,,True,False,False,False,1,False,8,False,,,,,,,,,,
2015-09-09,,,,24.70816744658222,53779997784.0,,,,,,,,,,,,,,,,,,,True,False,False,False,2,False,9,False,,,,,,,,,,
2015-09-10,,,,24.72386105790504,54630657670.0,,,,,,,,,,,,,,,,,,,True,False,False,False,3,False,10,False,,,,,,,,,,
2015-09-11,,,,24.74349376212084,55713802958.0,,,,,,,,,,,,,,,,,,,True,False,False,False,4,False,11,False,,,,,,,,,,
2015-09-12,,,,24.84765779510315,61830202468.0,,,,,,,,,,,,,,,,,,,True,False,False,False,5,True,12,False,,,,,,,,,,
2015-09-13,,,,24.68052077481546,52313524792.0,,,,,,,,,,,,,,,,,,,True,False,False,False,6,True,13,False,,,,,,,,,,
2015-09-14,,,,24.708025968978724,53772389657.0,,,,,,,,,,,,,,,,,,,True,False,False,False,0,False,14,False,,,,,,,,,,
2015-09-15,,,,24.697156954153257,53191101494.0,,,,,,,,,,,,,,,,,,,True,False,False,False,1,False,15,False,,,,,,,,,,
2015-09-16,,,,25.437456865277618,111518559318.0,,,,,,,,,,,,,,,,,,,True,False,False,False,2,False,16,False,,,,,,,,,,
2015-09-17,,,,24.742130835995784,55637920883.0,,,,,,,,,,,,,,,,,,,True,False,False,False,3,False,17,False,,,,,,,,,,
2015-09-18,,,,24.74330257053712,55703151966.0,,,,,,,,,,,,,,,,,,,True,False,False,False,4,False,18,False,,,,,,,,,,
2015-09-19,,,,24.667555837721274,51639660974.0,,,,,,,,,,,,,,,,,,,True,False,False,False,5,True,19,False,,,,,,,,,,
2015-09-20,,,,24.69186472203997,52910345407.0,,,,,,,,,,,,,,,,,,,True,False,False,False,6,True,20,False,,,,,,,,,,
2015-09-21,,,,24.65844623389638,51171380285.0,,,,,,,,,,,,,,,,,,,True,False,False,False,0,False,21,False,,,,,,,,,,
2015-09-22,,,,24.664176380456098,51465441496.0,,,,,,,,,,,,,,,,,,,True,False,False,False,1,False,22,False,,,,,,,,,,
2015-09-23,,,,24.669358466147997,51732832046.0,,,,,,,,,,,,,,,,,,,True,False,False,False,2,False,23,False,,,,,,,,,,
2015-09-24,,,,24.717101922069734,54262646753.0,,,,,,,,,,,,,,,,,,,True,False,False,False,3,False,24,False,,,,,,,,,,
2015-09-25,,,,24.680265982675557,52300197415.0,,,,,,,,,,,,,,,,,,,True,False,False,False,4,False,25,False,,,,,,,,,,
2015-09-26,,,,24.736321852972843,55315658061.0,,,,,,,,,,,,,,,,,,,True,False,False,False,5,True,26,False,,,,,,,,,,
2015-09-27,,,,24.655600749808727,51025979902.0,,,,,,,,,,,,,,,,,,,True,False,False,False,6,True,27,False,,,,,,,,,,
2015-09-28,,,,24.687571213722187,52683661382.0,,,,,,,,,,,,,,,,,,,True,False,False,False,0,False,28,True,,,,,,,,,,
2015-09-29,,,,24.738515636747316,55437141860.0,,,,,,,,,,,,,,,,,,,True,False,False,False,1,False,29,True,,,,,,,,,,
2015-09-30,,,,24.66409926871095,51461473059.0,,,,,,,,,,,,,,,,,,,True,False,False,False,2,False,30,True,,,,,,,,,,
2015-10-01,,,,24.664355665245164,51474669294.0,,,,,,,,,,,,,,,,,,,True,False,False,False,3,False,1,False,,,,,,,,,,
2015-10-02,,,,24.685367972555976,52567714347.0,,,,,,,,,,,,,,,,,,,True,False,False,False,4,False,2,False,,,,,,,,,,
2015-10-03,,,,24.68412811823323,52502578427.0,,,,,,,,,,,,,,,,,,,True,False,False,False,5,True,3,False,,,,,,,,,,
2015-10-04,,,,24.649847471267147,50733256095.0,,,,,,,,,,,,,,,,,,,True,False,False,False,6,True,4,False,,,,,,,,,,
